ID	Accession	Assay Type	Assay Nickname	Target label	Target gene	Biosample summary	Biosample	Description	Lab	Project	Status	Biological replicate	Technical replicate	Linked Antibody	Species	Life stage	Age	Age Units	Treatment	Term ID	Concentration	Concentration units	Duration	Duration units	Synchronization	Post-synchronization time	Post-synchronization time units	Replicates
/experiments/ENCSR000ELK/	ENCSR000ELK	DNase-seq	DNase-seq			islet precursor cell derived from epithelial cell of pancreas	islet precursor cell	DNase-seq on human PanIsletD	Gregory Crawford, Duke	ENCODE	released	1,3,2	1		Homo sapiens	unknown	unknown											/replicates/24fb3b07-e77a-46bd-896b-865dc649bc08/,/replicates/c0a4d8bf-8d08-4d6d-a0f4-944d30b7834e/,/replicates/e554b220-abd3-4b12-9ab8-7fceb3b304b9/
/experiments/ENCSR000ELT/	ENCSR000ELT	DNase-seq	DNase-seq			T47D	T47D	DNase-seq on human T-47D	Gregory Crawford, Duke	ENCODE	released	1,2	1		Homo sapiens	adult	54	year										/replicates/d38688f2-7021-47cf-ad0f-05bcd31d590b/,/replicates/806d0bd2-073f-4427-90ed-f35869fcf6f5/
/experiments/ENCSR229OWW/	ENCSR229OWW	DNase-seq	DNase-seq			brain male fetal (122 days)	brain		John Stamatoyannopoulos, UW	Roadmap	archived	1	10		Homo sapiens	fetal	122	day										/replicates/947ff86d-28fd-4881-9cff-6df282d8c7da/
/experiments/ENCSR840YSR/	ENCSR840YSR	DNase-seq	DNase-seq			foreskin fibroblast male newborn	foreskin fibroblast		John Stamatoyannopoulos, UW	Roadmap	archived	1	38		Homo sapiens	newborn	unknown											/replicates/ef98d97e-23e9-4ffd-bed2-1a4c21f95646/
/experiments/ENCSR000ELB/	ENCSR000ELB	DNase-seq	DNase-seq			medulloblastoma	medulloblastoma	DNase-seq on human medulloblastoma (D341)	Gregory Crawford, Duke	ENCODE	released	1,2	1		Homo sapiens	child	3	year										/replicates/0c0f5c22-67c7-4aa6-acc5-7372c5615719/,/replicates/d50e883d-9a8a-4300-b79e-4b8d18ff068b/
/experiments/ENCSR217TAW/	ENCSR217TAW	DNase-seq	DNase-seq			fibroblast of arm male adult (53 years)	fibroblast of arm		John Stamatoyannopoulos, UW	ENCODE	released	1,2	1		Homo sapiens	adult	53	year										/replicates/e399b270-0448-4d6e-a72c-f6b9f11f1ef3/,/replicates/9fd27e99-808e-4ebd-9356-5e6ac9f42ef3/
/experiments/ENCSR535PYL/	ENCSR535PYL	DNase-seq	DNase-seq			small intestine male fetal (108 days)	small intestine		John Stamatoyannopoulos, UW	Roadmap	archived	1	3		Homo sapiens	fetal	108	day										/replicates/28bbdadc-70a2-4d5f-aae6-4c7213a7c626/
/experiments/ENCSR000EOE/	ENCSR000EOE	DNase-seq	DNase-seq			lung microvascular endothelial cell female	lung microvascular endothelial cell	DNase-seq and DGF on human HMVEC-LLy	John Stamatoyannopoulos, UW	ENCODE	released	2,1	1		Homo sapiens	unknown	unknown											/replicates/eff07446-bb24-4ce9-a5c3-8d9ed8e65fa4/,/replicates/0df3d6d7-91a6-4342-8cc0-3786d454ab3a/
/experiments/ENCSR000ENS/	ENCSR000ENS	DNase-seq	DNase-seq			fibroblast of gingiva	fibroblast of gingiva	DNase-seq and DGF on human fibroblast of gingiva	John Stamatoyannopoulos, UW	ENCODE	released	1,2	1,3		Homo sapiens	unknown	unknown											/replicates/fe62fd9f-90d3-4429-9a9e-8e3d0d2bb126/,/replicates/74961e2d-0e32-436d-9b40-29d9308da332/,/replicates/94ffdc6f-956e-4233-8e64-f43bda8a4d85/
/experiments/ENCSR098PTC/	ENCSR098PTC	DNase-seq	DNase-seq			hematopoietic multipotent progenitor cell male adult (25 years)	hematopoietic multipotent progenitor cell		John Stamatoyannopoulos, UW	ENCODE	released	2,1	1,2		Homo sapiens	adult	25	year										/replicates/c0be7f61-d837-4492-916f-81a07d88e934/,/replicates/17575013-4ec1-4943-927b-7842d743431c/,/replicates/099f9c9c-96a2-4de8-8a91-1f74dfbfec3f/
/experiments/ENCSR000EKB/	ENCSR000EKB	DNase-seq	DNase-seq			myotube derived from skeletal muscle myoblast	myotube	Duke human HSMMtube DNase-seq	Gregory Crawford, Duke	ENCODE	released	1,3,2	1		Homo sapiens	unknown	unknown											/replicates/9a47630f-63b8-46a3-9554-87ee8f78a200/,/replicates/adf71ef9-4b93-4348-93a3-5d2f1f44b7f5/,/replicates/db60fbfc-e280-4de5-9c8a-31637f4eab2a/
/experiments/ENCSR000EIE/	ENCSR000EIE	DNase-seq	DNase-seq			A549	A549	DNase-seq on human A549	Gregory Crawford, Duke	ENCODE	released	1,2	1		Homo sapiens	adult	58	year										/replicates/326807ae-9607-41b3-8386-39f588c15811/,/replicates/dba3a10e-c7e7-41dc-8d4f-17fc56ace7e7/
/experiments/ENCSR000EJR/	ENCSR000EJR	DNase-seq	DNase-seq			HEK293T	HEK293T	Duke human HEK293T DNase-seq	Gregory Crawford, Duke	ENCODE	released	2,1	1		Homo sapiens	embryonic	unknown											/replicates/a6e62cfe-300c-4d34-acb6-5f3adb5e1c75/,/replicates/4f435394-ac8e-4abc-a983-23deefaf683d/
/experiments/ENCSR000EJU/	ENCSR000EJU	DNase-seq	DNase-seq			hepatocyte	hepatocyte	DNase-seq on human Hepatocytes	Gregory Crawford, Duke	ENCODE	released	1,2	1		Homo sapiens	unknown	unknown											/replicates/681577fc-daf0-4929-801b-911342e706a0/,/replicates/efa921e3-c21e-4088-9ae3-9540d65f9ec5/
/experiments/ENCSR000EJQ/	ENCSR000EJQ	DNase-seq	DNase-seq			heart male adult (27 years) and male adult (35 years)	heart	DNase-seq on human heart	Gregory Crawford, Duke	ENCODE	released	1,2	1		Homo sapiens	adult	35,27	year										/replicates/e3d73988-1fe8-49ce-b322-5813b4330769/,/replicates/9cde3fb0-3598-4189-83ac-ab7b325a4ab7/
/experiments/ENCSR000EII/	ENCSR000EII	DNase-seq	DNase-seq			B cell female adult (27 years)	B cell	DNase-seq on human CD20+ (RO01794)	Gregory Crawford, Duke	ENCODE	released	1,2	1		Homo sapiens	adult	27	year										/replicates/5cc580e1-2648-4a87-aced-d6ff0042070a/,/replicates/326dcc9e-bd33-49d1-bc24-19773f40567e/
